Модуль,Что делает,Внешние зависимости,Языкозависимый,Статус для mk,Приоритет
pipeline.py,"главный скрипт, который запускает весь pipeline: токенизация -> POS-разметка (TreeTagger) -> CoNLL -> dependency parsing (MaltParser) -> анафора -> граф -> визуализация","nltk, prepare, run_maltparser, make_graph_en/ru, eng/ru_rb_anaphora, graph.graph",да,адаптируем,1
prepare.py,"вызывает TreeTagger для POS-разметки и лемматизации, конвертирует результат в формат CoNLL-X. функции: tag_with_treetagger(), sentence_to_conllx(), write_conllx_file()","subprocess, TreeTagger (внешний бинарник)",да,пишем заново (prepare_mk.py),1
run_maltparser.py,"запускает MaltParser (Java) для dependency parsing, копирует файл в рабочую папку MaltParser, запускает jar, читает результат CoNLL. функция: annotate()","subprocess, Java, MaltParser jar + модель (.mco)",да,не нужен (CLASSLA делает depparse),0
sent_class.py,"определяет классы Token и Sentence для хранения токенов с CoNLL-полями (id, form, lemma, pos, xpos, head, deprel). функции: parse_conll() читает CoNLL-файл, generate_conll() записывает обратно",нет,нет,переиспользуем,1
make_graph_en.py,"строит семантический граф для EN из CoNLL-разметки. извлекает именные группы (noun concepts), находит связи через глаголы, предлоги, притяжание. POS-tag: Penn Treebank (NN, NNS, NNP, VB и т.д.)","graph.higher_dim_graph.Graph, graph.edge, graph.vertex",да,адаптируем (make_graph_mk.py на основе make_graph_ru.py),2
make_graph_ru.py,"строит семантический граф для RU из CoNLL-разметки. извлекает предикаты (extract_predicates), строит ребра через падежную систему (xpos: Ncfsan...), обрабатывает генитивные связи и предложные группы. POS-tag: Multext-East (Nc*, Vm*, Sp* и т.д.)","graph.higher_dim_graph.Graph, graph.edge, graph.vertex",да,адаптируем (make_graph_mk.py; mk тоже Multext-East),2
eng_rb_anaphora.py,"rule-based разрешение анафоры для EN. компоненты: PleonasticItDetector (фильтр плеонастического it), NPExtractor (извлечение именных групп), BindingFilter (Condition B), DiscourseModel (модель дискурса с затуханием), SalienceScorer (ранжирование кандидатов по salience), MorphFilter (фильтр по числу)",sent_class,да,адаптируем (mk_rb_anaphora.py),3
ru_rb_anaphora.py,"rule-based разрешение анафоры для RU. похож на eng_rb_anaphora.py, но: нет PleonasticItDetector, POS-tag начинаются с N*/P-*, MorphFilter использует pymorphy3 для согласования по роду, числу и падежу. функция resolve_anaphora_ru() заменяет местоимения на антецеденты","sent_class, pymorphy3",да,адаптируем (mk_rb_anaphora.py; нужен морфоанализатор для mk),3
eng_neural_anaphora.py,"нейросетевое разрешение анафоры для EN через Stanford CoreNLP. класс CoreferenceResolver запускает CoreNLP-сервер, использует цепочки кореференции для замены местоимений","stanza, Stanford CoreNLP (Java, 4GB RAM)",да,не нужен (нет CoreNLP-модели для mk),0
ru_anaphora_ionov.py,альтернативное разрешение анафоры для RU через библиотеку russian_anaphora_resolver (Ионов). функция safe_inflect() согласует форму антецедента с падежом/числом/родом местоимения через pymorphy3,"russian_anaphora_resolver, pymorphy3",да,не нужен (библиотека только для RU),0
graph/vertex.py,"dataclass Vertex: хранит концепт (concept), список слов (words_of_concept), embedding (numpy array), множество смежных ребер (adjacent_edges). embedding вычисляется при создании через EmbeddingManager","numpy, graph.embedding_manager",нет,переиспользуем,2
graph/edge.py,"dataclass Edge: хранит пару агентов (agent_1, agent_2), смысл связи (meaning), тип ребра (edge_type), id подграфа-источника (parent_subgraph), embedding. embedding вычисляется при создании через EmbeddingManager","numpy, graph.embedding_manager",нет,переиспользуем,2
graph/graph.py,"класс Graph: хранит вершины (dict[str, Vertex]) и ребра (list[Edge]). методы: add_vertex(), add_edge(), get_vertex_edges(), convert_to_networkx(), save_to_csv(). функции: visualize_graph() (matplotlib), visualize_graph_interactive() (HTML + vis.js), restore_from_csv()","networkx, matplotlib, pyvis, graph.edge, graph.vertex",нет,переиспользуем,2
graph/higher_dim_graph.py,"расширенный класс Graph с поддержкой union edges (группы ребер, объединенных общим смыслом). добавляет: add_union_edge(), get_union_edges(), список union_edges: List[UnionEdge]. именно этот класс импортируют make_graph_en/ru.py","graph.edge, graph.vertex, graph.union_edge",нет,переиспользуем,2
graph/union_edge.py,"dataclass UnionEdge: группирует несколько ребер в логическое объединение. хранит edge_ids (множество индексов ребер), meaning, parent_subgraph, embedding","numpy, graph.embedding_manager",нет,переиспользуем,2
graph/embedding_manager.py,класс EmbeddingManager с методом get_embedding(word). сейчас возвращает случайный вектор размерности 10 (заглушка). в реальном проекте нужны настоящие word embeddings,numpy,да (нужны embeddings для mk),адаптируем (подключаем реальные mk embeddings),3
graph/make_graphs.py,"альтернативный модуль построения графа через spacy (en_core_web_trf). класс SentenceAnalyzer: extract_noun_phrases(), find_verb_connections(). не используется в основном pipeline",spacy (en_core_web_trf),да,не нужен (spacy не поддерживает mk),0
metrics/metrics.py,"метрики для графов и текстов. графовые: calculate_metrics() (степени, плотность, кластеризация, центральности, компоненты связности, диаметр). распределения: distribution_of_degrees(), distribution_of_clustering_coefficients(), distribution_of_shortest_path_lengths(). текстовые: TTR, MTLD, средняя длина слова, слоги, T-score. загружает русский частотный словарь freqrnc2011.csv","networkx, matplotlib, pymorphy3, nltk, graph.graph","да (текстовые метрики, частотный словарь)","адаптируем (графовые метрики переиспользуем, текстовые переписываем для mk)",4
corpus/download_micusp.py,"скачивает PDF-файлы корпуса MICUSP (Michigan Corpus of Upper-level Student Papers), извлекает текст через pdfplumber","requests, pdfplumber, tqdm",да (корпус EN),не нужен (у нас свой mk корпус в texts/),0
corpus/extract_coca.py,разбирает файл корпуса COCA (Corpus of Contemporary American English) на отдельные текстовые файлы,tqdm,да (корпус EN),не нужен (у нас свой mk корпус в texts/),0
graph/tests/test_graph.py,"тестовый скрипт для Graph: создает вершины и ребра вручную, визуализирует граф. примеры на русском тексте (ускорение, высота, потенциальная энергия)",graph.graph,нет,переиспользуем (как шаблон для своих тестов),0
graph/tests/test_higher_dim_graph.py,тестовый скрипт для higher_dim_graph (Graph с union edges),graph.higher_dim_graph,нет,переиспользуем (как шаблон для своих тестов),0
